1	1200	1500	1	1800	2300	2	1200	1500	2	1800	2300	3	1200	1500	3	1800	2300	4	1200	1500	4	1800	2300	5	1200	1500	5	1800	2300	6	1100	2300	7	1500	1930						
1	1200	1430	1	1900	2300	2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1200	1430	6	1900	2300	7	1900	2300			
2	1830	2300	3	1830	2300	4	1830	2300	5	1200	1400	5	1830	2300	6	1830	2300	7	1830	2300																					
1	1900	2300	2	1900	2300	3	1900	2300	4	1900	2300	5	1900	2300	6	1900	2300																								
3	1930	2230	4	1930	2230	5	1930	2230	6	1930	2230	7	1230	1400	7	1930	2230																								
1	1200	1500	1	1800	2000	2	1200	1500	2	1800	2000	3	1200	1500	3	1800	2000	4	1200	1500	4	1800	2000	5	1200	1500	5	1800	2000												
2	1900	2300	3	1900	2300	4	1900	2300	5	1900	2300	6	1900	2300	7	1900	2300																								
1	1200	1500	1	1800	2000	2	1200	1500	2	1800	2000	3	1200	1500	3	1800	2000	4	1200	1500	4	1800	2000	5	1200	1500	5	1800	2000	6	1200	2000	7	1200	2000						
2	1900	2230	3	1900	2230	4	1900	2230	5	1900	2230	6	1100	2230	7	1100	1500																								
2	1200	1430	2	1930	2200	3	1200	1430	3	1930	2200	4	1200	1430	4	1930	2200	5	1930	2200	6	1200	1430	6	1930	2200	7	1200	1430	7	1930	2200									
3	1930	2300	4	1930	2300	5	1930	2300	6	1930	2300	7	1930	2300																											
3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230																														
2	1930	2300	3	1930	2300	4	1930	2300	5	1930	2300	6	1930	2300	7	1930	2300																								
1	1200	1400	1	1900	2230	2	1200	1400	2	1900	2230	3	1200	1400	3	1900	2230	4	1200	1400	4	1900	2230	5	1200	1400	5	1900	2230	6	1200	1400	6	1900	2230	7	1200	1400	7	1900	2230
1	1200	1400	2	1200	1500	2	1800	1900	3	1200	1500	3	1800	1900	4	1200	1500	4	1800	1900	5	1200	1500	5	1800	1900	6	1200	1900	7	1200	1900									
2	1800	2000	3	1800	2000	4	1800	2000	5	1800	2000	6	1100	1430																											
1	1200	1500	1	1800	2300	3	1200	1500	3	1800	2300	4	1200	1500	4	1800	2300	5	1200	1500	5	1800	2300	6	1200	1500	6	1800	2300	7	1200	1500	7	1800	2300						
2	1200	1500	2	1900	2200	3	1200	1500	3	1900	2200	4	1200	1500	4	1900	2200	5	1200	1500	5	1900	2200	6	1200	1500	6	1900	2200												
1	1200	1500	1	1800	2130	2	1200	1500	2	1800	2130	3	1200	1500	3	1800	2130	4	1200	1500	4	1800	2130	5	1200	1500	5	1800	2130	6	1030	2130	7	1030	1400						
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500																											
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230	6	1130	2230	7	1130	2230						
1	1300	1500	1	1800	2000	2	1300	1500	2	1800	2000	3	1300	1500	3	1800	2000	4	1300	1500	4	1800	2000	5	1300	1500	5	1800	2000	6	1300	2000	7	1300	2000						
1	1200	1500	1	1800	2000	2	1200	1500	2	1800	2000	3	1200	1500	3	1800	2000	4	1200	1500	4	1800	2000	5	1200	1500	5	1800	2000												
1	1200	1500	2	1200	1500	3	1200	1500	3	1900	2100	4	1200	1500	4	1900	2100	5	1200	1500	5	1930	2130	6	1200	1500	6	1930	2130												
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500	6	1200	1500																								
1	1200	1430	1	1900	2100	2	1200	1430	2	1900	2100	3	1200	1430	3	1900	2100	4	1200	1430	4	1900	2100	5	1200	1430	6	1200	1430	7	1200	1430									
1	1930	2300	2	1930	2300	3	1930	2300	4	1930	2300	5	1930	2300	6	1200	1430	6	1930	2300	7	1200	1430	7	1930	2300															
2	1200	1430	2	1900	2200	3	1200	1430	3	1900	2200	4	1200	1430	4	1900	2200	5	1200	1430	5	1900	2200																		
2	1200	1930	3	1200	1930	4	1200	1930	5	1200	2130	6	1100	1930																											
1	1200	1430	1	1930	2300	2	1200	1430	2	1930	2300	3	1200	1430	3	1930	2300	4	1200	1430	4	1930	2300	5	1200	1430	5	1930	2300	6	1200	1430	6	1930	2300						
1	1200	1430	1	1800	2030	2	1200	1430	2	1800	2030	3	1200	1430	3	1800	2030	4	1200	1430	4	1800	2030	5	1200	1430	5	1800	2030	6	1200	1430	6	1800	2030						
1	1200	1430	1	1900	2200	2	1200	1430	2	1900	2200	3	1200	1430	3	1900	2200	4	1200	1430	4	1900	2200	5	1200	1430	5	1900	2200	6	1900	2200									
1	1900	2230	2	1200	1400	2	1900	2230	3	1200	1400	3	1900	2230	4	1200	1400	4	1900	2230	5	1200	1400	5	1900	2230	6	1200	1400	6	1900	2230	7	1200	1400	7	1900	2230			
1	1230	1430	1	1930	2300	2	1230	1430	2	1930	2300	3	1230	1430	3	1930	2300	4	1230	1430	4	1930	2300	5	1230	1430	5	1930	2300	6	1930	2300	7	1930	2300						
2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1200	1430	6	1900	2300	7	1200	1430	7	1900	2300						
2	1200	1430	2	1930	2300	3	1200	1430	3	1930	2300	4	1200	1430	4	1930	2300	5	1200	1430	5	1930	2300	6	1200	1430	6	1930	2300	7	1200	1430	7	1930	2300						
2	1900	2300	3	1900	2300	4	1900	2300	5	1900	2300	6	1900	2300	7	1900	2300																								
1	1230	1430	1	1930	2300	2	1230	1430	2	1930	2300	3	1230	1430	3	1930	2300	4	1230	1430	4	1930	2300	5	1230	1430	5	1930	2300	7	1930	2300									
1	1830	2230	2	1230	1430	2	1830	2230	3	1230	1430	3	1830	2230	4	1230	1430	4	1830	2230	5	1230	1430	5	1830	2230	6	1230	1430	6	1830	2230	7	1230	1430	7	1830	2230			
1	1930	2300	3	1930	2300	4	1930	2300	5	1930	2300	6	1930	2300	7	1930	2300																								
1	1200	1500	1	1800	1900	2	1200	1500	2	1800	1900	3	1200	1500	3	1800	1900	4	1200	1500	4	1800	1900	5	1200	1500	5	1800	1900												
1	1200	1500	1	1800	2130	2	1200	1500	2	1800	2130	3	1200	1500	3	1800	2130	4	1200	1500	4	1800	2130	5	1200	1500	5	1800	2300	6	1800	2300									
1	1200	1500	1	1800	2000	2	1200	1500	2	1800	2000	3	1200	1500	3	1800	2000	4	1200	1500	4	1800	2000	5	1200	1500	5	1800	2000	6	1200	2000									
2	1200	1330	3	1200	1330	4	1200	1330	5	1200	1330	6	1030	1330																											
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230												
2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1900	2300	7	1900	2300												
2	1200	1500	2	1900	2300	3	1200	1500	3	1900	2300	4	1200	1500	4	1900	2300	5	1200	1500	5	1900	2300	6	1900	2300	7	1900	2300												
2	1800	2230	3	1800	2230	4	1800	2230	5	1800	2230	6	1800	2230																											
2	1200	1500	2	1800	2000	3	1200	1500	3	1800	2000	4	1200	1500	4	1800	2000	5	1200	1500	5	1800	2000	6	1100	2000	7	1100	2000												
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230	6	1200	2230	7	1200	2230						
1	1200	1400	1	1900	2230	3	1200	1400	3	1900	2230	4	1200	1400	4	1900	2230	5	1200	1400	5	1900	2230	6	1200	1400	6	1900	2230	7	1900	2230									
1	1230	1400	1	1900	2200	2	1230	1400	2	1900	2200	3	1230	1400	3	1900	2200	4	1230	1400	4	1900	2200	5	1230	1400	5	1900	2200	6	1230	1400	6	1900	2200	7	1230	1400	7	1900	2200
2	1200	1500	2	1830	2300	3	1200	1500	3	1830	2300	4	1200	1500	4	1830	2300	5	1200	1500	6	1200	1500	7	1200	1500	7	1830	2300												
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230	6	1030	2300	7	1030	2300						
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500																											
2	1200	1500	2	1800	2300	3	1200	1500	3	1800	2300	4	1200	1500	4	1800	2300	5	1200	1500	5	1800	2300	6	1800	2300	7	1800	2300												
2	1200	1500	2	1900	2200	3	1200	1500	3	1900	2200	4	1200	1500	4	1900	2200	5	1200	1500	5	1900	2200	6	1200	1500	6	1900	2200	7	1200	1500	7	1900	2200						
1	1200	1500	1	1800	1930	2	1200	1500	2	1800	1900	3	1200	1500	3	1800	1900	4	1200	1500	4	1800	1900	5	1200	1500	5	1800	1900	6	1030	1900									
1	1200	1430	1	1900	2300	2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1200	1430	6	1900	2300	7	1900	2300			
1	1200	1430	2	1200	1430	2	1830	2230	3	1200	1430	3	1830	2230	4	1200	1430	4	1830	2230	5	1200	1430	5	1830	2230	6	1830	2230	7	1830	2230									
2	1900	2230	3	1900	2230	4	1900	2230	5	1900	2230	6	1900	2230																											
1	1230	1500	1	1830	2300	2	1200	1500	2	1830	2300	3	1230	1500	3	1830	2300	4	1230	1500	4	1830	2300	5	1230	1500	5	1830	2300	6	1230	1500	6	1830	2300	7	1230	1500	7	1830	2300
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500	5	1900	2200	6	1030	1500																					
1	1200	1430	1	1900	2230	2	1200	1430	2	1900	2230	3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230	5	1200	1430	5	1900	2230	6	1900	2230	7	1900	2230						
1	1200	1500	2	1200	1500	2	1900	2200	3	1200	1500	3	1900	2200	4	1200	1500	4	1900	2200	5	1200	1500	5	1900	2200															
2	1200	1430	2	1930	2230	3	1200	1430	3	1930	2230	4	1200	1430	4	1930	2230	5	1200	1430	5	1930	2230	6	1200	1430	6	1930	2230	7	1200	1430	7	1930	2230						
1	1200	1430	1	1900	2300	2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1200	1430	6	1900	2300	7	1200	1430	7	1900	2300
2	1200	1500	2	1900	2300	3	1200	1500	3	1900	2300	4	1200	1500	4	1900	2300	5	1200	1500	5	1900	2300	6	1900	2300	7	1200	1500	7	1900	2300									
2	1200	1500	2	1830	2300	3	1200	1500	3	1830	2300	4	1200	1500	4	1830	2300	5	1200	1500	5	1830	2300	6	1100	1500	6	1830	2300	7	1100	1500	7	1830	2300						
1	1900	2230	2	1200	1430	2	1900	2230	3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230	5	1200	1430	5	1900	2230	6	1200	1430	6	1900	2230	7	1200	1430	7	1900	2230			
1	1200	1500	1	1830	2300	2	1200	1500	2	1830	2300	3	1200	1500	3	1830	2300	4	1200	1500	4	1830	2300	5	1200	1500	5	1830	2300	6	1200	1500	6	1830	2300	7	1200	1500	7	1830	2300
1	1230	1430	1	1830	2300	2	1230	1430	2	1830	2300	3	1230	1430	3	1830	2300	4	1230	1430	4	1830	2300	5	1230	1430	5	1830	2300	6	1230	1900	6	1900	2300	7	1230	1900	7	1900	2300
1	1230	1500	1	1900	2230	2	1230	1500	2	1900	2230	3	1230	1500	3	1900	2230	4	1230	1500	4	1900	2230	5	1230	1500	5	1900	2230	6	1230	1500	6	1900	2230	7	1900	2230			
1	1200	1500	1	1800	2030	2	1200	1500	2	1800	2030	3	1200	1500	3	1800	2030	4	1200	1500	4	1800	2030	5	1200	1500	5	1800	2030	6	1030	2030	7	1030	2030						
1	1200	1430	1	1900	2230	2	1200	1430	2	1900	2230	3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230	5	1200	1430	5	1900	2230	6	1200	2230	7	1200	2230						
1	1200	1500	1	1800	2030	2	1200	1500	2	1800	2030	3	1200	1500	3	1800	2030	4	1200	1500	4	1800	2030	5	1200	1500	5	1800	2030	6	1030	2030	7	1030	2030						
1	1230	1500	1	1900	2230	2	1230	1500	2	1900	2230	3	1230	1500	3	1900	2230	4	1230	1500	4	1900	2230	5	1230	1500	5	1900	2230	6	1230	1500	6	1900	2230	7	1900	2230			
2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1200	1430	6	1900	2300	7	1200	1430	7	1900	2300						
2	1200	1500	2	1800	2300	3	1200	1500	3	1800	2300	4	1200	1500	4	1800	2300	5	1200	1500	5	1800	2300	6	1200	1500	6	1800	2300	7	1200	1500	7	1800	2300						
1	1930	2300	2	1930	2300	3	1930	2300	4	1930	2300	7	1930	2300																											
1	1200	1500	1	1900	2300	2	1200	1500	2	1900	2300	3	1200	1500	3	1900	2300	4	1200	1500	4	1900	2300	5	1200	1500	5	1900	2300	6	1200	1500	6	1900	2300	7	1200	1500	7	1900	2300
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230	6	1200	2300	7	1100	2230						
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500	6	1200	1500																								
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230	6	1200	2300	7	1100	2230						
1	1200	1500	1	1830	2300	2	1200	1500	2	1830	2300	3	1200	1500	3	1830	2300	4	1200	1500	4	1830	2300	5	1200	1500	5	1830	2300	6	1200	1500	6	1830	2300	7	1200	1500	7	1830	2300
1	1200	1430	1	1900	2230	2	1200	1430	2	1900	2230	3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230	5	1200	1430	5	1900	2230	6	1200	1430	6	1900	2230	7	1200	1430	7	1900	2230
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500	6	1200	1500																								
1	1200	1430	1	1900	2200	2	1200	1430	2	1900	2200	3	1200	1430	3	1900	2200	4	1200	1430	4	1900	2200	5	1200	1430	5	1900	2200	6	1900	2200									
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2230	6	1200	2300	7	1100	2230						
1	1900	2300	2	1900	2300	3	1900	2300	4	1900	2300	5	1900	2300	6	1900	2300	7	1900	2300																					
1	1200	1430	1	1900	2300	2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1900	2300	7	1200	1430	7	1900	2300			
1	1200	1500	1	1800	2300	2	1200	1500	2	1800	2300	3	1200	1500	3	1800	2300	4	1200	1500	4	1800	2300	5	1200	1500	5	1800	2300	6	1200	2300	7	1200	2300						
1	1200	1430	1	1830	2200	2	1200	1430	2	1830	2200	3	1200	1430	3	1830	2200	4	1200	1430	4	1830	2200	5	1200	1430	5	1830	2200	6	1200	1430	6	1830	2200	7	1830	2200			
2	1200	1430	2	1900	2230	3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230	5	1200	1430	5	1900	2230	7	1900	2230															
1	1200	1500	1	1800	2030	2	1200	1500	2	1800	2030	3	1200	1500	3	1800	2030	4	1200	1500	4	1800	2030	5	1200	1500	5	1800	2030	6	1030	2030	7	1030	2030						
1	1200	1430	1	1830	2230	2	1200	1430	2	1830	2230	3	1200	1430	3	1830	2230	4	1200	1430	4	1830	2230	5	1200	1430	5	1830	2230	6	1200	1500	6	1830	2230	7	1200	1500	7	1830	2230
1	1200	1400	1	1900	2230	2	1200	1400	2	1900	2230	3	1200	1400	3	1900	2230	4	1200	1400	4	1900	2230	5	1200	1400	5	1900	2230	6	1200	1400	6	1900	2230						
1	1200	1500	1	1800	2030	2	1200	1500	2	1800	2030	3	1200	1500	3	1800	2030	4	1200	1500	4	1800	2030	5	1200	1500	5	1800	2030	6	1030	2030	7	1030	2030						
1	1200	1500	1	1800	2300	2	1200	1500	2	1800	2300	3	1200	1500	3	1800	2300	4	1200	1500	4	1800	2300	5	1200	1500	5	1800	2300	6	1200	2300	7	1200	2300						

